pins OK. expected src hashes: install ccd5fc7dbc2035b6  restore 2052d5642163f62e
HEAD 693681d20783; frames -> /home/user/Demo/progress/records/fxartifact1
· waiting for capture lock (4194s, held by pid 4615)
· waiting for capture lock (4205s, held by pid 4615)
· waiting for capture lock (4215s, held by pid 4615)
· waiting for capture lock (4226s, held by pid 4615)
· waiting for capture lock (4237s, held by pid 4615)
· waiting for capture lock (4248s, held by pid 4615)
· waiting for capture lock (4258s, held by pid 4615)
· waiting for capture lock (4269s, held by pid 4615)
· waiting for capture lock (4279s, held by pid 4615)
· waiting for capture lock (4290s, held by pid 4615)
· waiting for capture lock (4300s, held by pid 4615)
· waiting for capture lock (4310s, held by pid 4615)
· waiting for capture lock (4321s, held by pid 4615)
· waiting for capture lock (4331s, held by pid 4615)
· waiting for capture lock (4342s, held by pid 4615)
· waiting for capture lock (4353s, held by pid 4615)
· waiting for capture lock (4363s, held by pid 4615)
· waiting for capture lock (4374s, held by pid 4615)
· waiting for capture lock (4385s, held by pid 4615)
· waiting for capture lock (4396s, held by pid 4615)
· waiting for capture lock (4407s, held by pid 4615)
· waiting for capture lock (4417s, held by pid 4615)
· waiting for capture lock (4428s, held by pid 4615)
· waiting for capture lock (4438s, held by pid 4615)
· waiting for capture lock (4449s, held by pid 4615)
· waiting for capture lock (4460s, held by pid 4615)
· waiting for capture lock (4470s, held by pid 4615)
· waiting for capture lock (4481s, held by pid 4615)
· waiting for capture lock (4491s, held by pid 4615)
· waiting for capture lock (4501s, held by pid 4615)
· waiting for capture lock (4511s, held by pid 4615)
· waiting for capture lock (4522s, held by pid 4615)
· waiting for capture lock (4533s, held by pid 4615)
· waiting for capture lock (4543s, held by pid 4615)
· waiting for capture lock (4554s, held by pid 4615)
· waiting for capture lock (4564s, held by pid 4615)
· waiting for capture lock (4575s, held by pid 4615)
· waiting for capture lock (4585s, held by pid 4615)
· waiting for capture lock (4596s, held by pid 4615)
· waiting for capture lock (4606s, held by pid 4615)
· waiting for capture lock (4616s, held by pid 4615)
· waiting for capture lock (4627s, held by pid 4615)
· waiting for capture lock (4638s, held by pid 4615)
· waiting for capture lock (4648s, held by pid 4615)
· waiting for capture lock (4659s, held by pid 4615)
· waiting for capture lock (4669s, held by pid 4615)
· waiting for capture lock (4680s, held by pid 4615)
· waiting for capture lock (4691s, held by pid 4615)
