BASE 926f0ee verified: src delta is exactly the three registered files.
HEAD f4056f4364af; frames -> /home/user/Demo/progress/records/torchlight1
· waiting for capture lock (1435s, held by pid 30311)
· waiting for capture lock (1446s, held by pid 30311)
· waiting for capture lock (1457s, held by pid 30311)
· waiting for capture lock (1467s, held by pid 30311)
· waiting for capture lock (1477s, held by pid 30311)
· waiting for capture lock (1488s, held by pid 30311)
· waiting for capture lock (1498s, held by pid 30311)
· waiting for capture lock (1509s, held by pid 30311)
· waiting for capture lock (1519s, held by pid 30311)
· waiting for capture lock (1530s, held by pid 30311)
· waiting for capture lock (1541s, held by pid 30311)
· waiting for capture lock (1552s, held by pid 30311)
· waiting for capture lock (1562s, held by pid 30311)
· waiting for capture lock (1573s, held by pid 30311)
· waiting for capture lock (1583s, held by pid 30311)
· waiting for capture lock (1593s, held by pid 30311)
· waiting for capture lock (1603s, held by pid 30311)
· waiting for capture lock (1614s, held by pid 30311)
· waiting for capture lock (1624s, held by pid 30311)
· waiting for capture lock (1635s, held by pid 30311)
· waiting for capture lock (1646s, held by pid 30311)
· waiting for capture lock (1656s, held by pid 30311)
· waiting for capture lock (1666s, held by pid 30311)
· waiting for capture lock (1677s, held by pid 30311)
· waiting for capture lock (1687s, held by pid 30311)
· waiting for capture lock (1698s, held by pid 30311)
· waiting for capture lock (1709s, held by pid 30311)
· waiting for capture lock (1720s, held by pid 30311)
· waiting for capture lock (1730s, held by pid 30311)
· waiting for capture lock (1741s, held by pid 30311)
· waiting for capture lock (1751s, held by pid 30311)
· waiting for capture lock (1761s, held by pid 30311)
· waiting for capture lock (1771s, held by pid 30311)
· waiting for capture lock (1782s, held by pid 30311)
· waiting for capture lock (1792s, held by pid 30311)
· waiting for capture lock (1802s, held by pid 30311)
· waiting for capture lock (1814s, held by pid 30311)
· waiting for capture lock (1824s, held by pid 30311)
· waiting for capture lock (1834s, held by pid 30311)
· waiting for capture lock (1844s, held by pid 30311)
· waiting for capture lock (1855s, held by pid 30311)
· waiting for capture lock (1865s, held by pid 30311)
· waiting for capture lock (1876s, held by pid 30311)
· waiting for capture lock (1886s, held by pid 30311)
· waiting for capture lock (1897s, held by pid 30311)
· waiting for capture lock (1908s, held by pid 30311)
· waiting for capture lock (1918s, held by pid 30311)
· waiting for capture lock (1929s, held by pid 30311)
· waiting for capture lock (1940s, held by pid 30311)
· waiting for capture lock (1950s, held by pid 30311)
· waiting for capture lock (1960s, held by pid 30311)
· waiting for capture lock (1970s, held by pid 30311)
· waiting for capture lock (1981s, held by pid 30311)
· waiting for capture lock (1992s, held by pid 30311)
· waiting for capture lock (2002s, held by pid 30311)
· waiting for capture lock (2013s, held by pid 30311)
· waiting for capture lock (2023s, held by pid 30311)
· waiting for capture lock (2033s, held by pid 30311)
· waiting for capture lock (2043s, held by pid 30311)
· waiting for capture lock (2053s, held by pid 30311)
· waiting for capture lock (2064s, held by pid 30311)
· waiting for capture lock (2074s, held by pid 30311)
· waiting for capture lock (2085s, held by pid 30311)
· waiting for capture lock (2095s, held by pid 30311)
· waiting for capture lock (2105s, held by pid 30311)
· waiting for capture lock (2116s, held by pid 30311)
· waiting for capture lock (2127s, held by pid 30311)
· waiting for capture lock (2137s, held by pid 30311)
· waiting for capture lock (2147s, held by pid 4092)
· waiting for capture lock (2158s, held by pid 4092)
· waiting for capture lock (2168s, held by pid 4092)
· waiting for capture lock (2179s, held by pid 4092)
· waiting for capture lock (2189s, held by pid 4092)
· waiting for capture lock (2200s, held by pid 4092)
· waiting for capture lock (2211s, held by pid 4092)
· waiting for capture lock (2221s, held by pid 4092)
· waiting for capture lock (2231s, held by pid 4092)
· waiting for capture lock (2242s, held by pid 4092)
· waiting for capture lock (2252s, held by pid 4092)
· waiting for capture lock (2263s, held by pid 4092)
· waiting for capture lock (2273s, held by pid 4092)
· waiting for capture lock (2283s, held by pid 4092)
· waiting for capture lock (2293s, held by pid 4092)
· waiting for capture lock (2304s, held by pid 4092)
· waiting for capture lock (2314s, held by pid 4092)
· waiting for capture lock (2325s, held by pid 4092)
· waiting for capture lock (2335s, held by pid 4092)
· waiting for capture lock (2346s, held by pid 4092)
· waiting for capture lock (2357s, held by pid 4092)
· waiting for capture lock (2367s, held by pid 4092)
· waiting for capture lock (2378s, held by pid 4092)
· waiting for capture lock (2388s, held by pid 4092)
· waiting for capture lock (2399s, held by pid 4092)
· waiting for capture lock (2409s, held by pid 4092)
· waiting for capture lock (2420s, held by pid 4092)
· waiting for capture lock (2431s, held by pid 4092)
· waiting for capture lock (2442s, held by pid 4092)
· waiting for capture lock (2453s, held by pid 4092)
· waiting for capture lock (2463s, held by pid 4092)
· waiting for capture lock (2474s, held by pid 4092)
