# UNCONFIRMED HYPOTHESES — NOT A RANKING. Generated by the collision-vs-art census.
# Each row is a cell where the drawn art and the capsule-swept collision world disagree.
# NONE of these rows has been driven. A row is a claim about what an agent can do and only
# moving an agent settles it; three sibling rows were driven and their verdicts are in the
# round report. Do not act on a row here without driving it first.
# Probe: capsuleSweep (capsule 1.80 x 0.34) vs binned art triangles at y+0.3/0.9/1.5,
# reach 1.2 m, triviality floor 0.02 m. Vertical probes from y=300.
kind	agent	cells	cx	cz	y	depth_m	art_entry_m	art_exit_m	collision_dist_m	art_mesh	route	dir_x	dir_z
THROUGH-ART	player	31	11	-34	17	0.05	0.38	0.42	1.2	arch:hall:bronze_dark		1	0
INVISIBLE	player	13	16.08	-0.92	14.75	1.2	-1	-1	0			0	1
INVISIBLE	player	13	12.54	17.46	1.53	1.2	-1	-1	0			1	0
INVISIBLE	player	1	11	26	11.93	0.3	-1	-1	0.9			-1	0
INVISIBLE	player	1	11	34	28.86	1.2	-1	-1	0			1	0
INVISIBLE	player	1	12	-72	4.22	1.2	-1	-1	0			0	-1
INVISIBLE	player	1	12	-64	1.13	1.19	-1	-1	0.01			0	1
INVISIBLE	player	5	14	-60	1.26	1.2	-1	-1	0			-1	0
THROUGH-ART	player	5	14	-59	1.36	1.09	0.63	1.72	1.2	sand_ring1		0	1
INVISIBLE	player	1	12	-57	0.15	0.29	-1	-1	0.91			1	0
THROUGH-ART	player	14	18.14	-54.07	0.03	1.81	0.25	2.05	1.2	sand_ring1		0	1
INVISIBLE	player	412	29.21	-17.03	15.29	1.2	1.41	1.41	0	arch:hall:limestone_polished		0	-1
THROUGH-ART	player	1	12	-2	12.67	0.24	0.6	0.84	1.2	arch:court:sandstone_block		-1	0
THROUGH-ART	player+guard	3	13.67	28.67	0	0.14	0.44	0.59	1.2	arch:court:hieroglyph_gilded	courtyard_ring	1	0
INVISIBLE	player	3	15	-78	4.94	1.2	-1	-1	0			1	0
INVISIBLE	player	4	15.5	-72	4.72	1.2	-1	-1	0			1	0
INVISIBLE	player	1	14	-62	1.03	1.2	1.56	1.56	0	sand_ring1		0	1
INVISIBLE	player	11	15.82	19	1.42	1.2	-1	-1	0			0	-1
THROUGH-ART	player	3	14	21	1.65	0.69	0.87	1.56	1.2	arch:court:hieroglyph_gilded		0	1
THROUGH-ART	player	8	14.88	25.25	0	1.93	0.38	2.31	1.2	arch:court:hieroglyph_wall		0	-1
INVISIBLE	player	9	17.56	-64.67	1.15	1.19	-1	-1	0.01			0	-1
INVISIBLE	player	1	15	-63	1.04	1.2	-1	-1	0			0	1
